Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
30,Sam Barkley,1,1888,1888,21,36,.368,1,-15,58,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1888
31,Billy Barnie,14,1883,1898,632,810,.438,35,-178,1477,0,0,,3,12,7.0,0,0,0,0,0,as player,plyr/mgr: 1883-1886
32,Bernardo Baró,1,1927,1927,12,14,.462,1,-2,27,0,0,,3,3,3.0,,0,0,0,0,as player,
33,Ed Barrow HOF,5,1903,1920,310,320,.492,9,-10,639,4,2,.667,1,7,4.7,1,1,1,1,0,,
34,Jack Barry,1,1917,1917,90,62,.592,5,28,157,0,0,,2,2,2.0,2,0,0,0,0,as player,plyr/mgr: 1917
35,Joe Battin,2,1883,1884,9,23,.281,0,-14,32,0,0,,5,10,7.8,0,0,0,0,0,as player,plyr/mgr: 1883-1884
36,Hank Bauer,8,1961,1969,594,544,.522,1,50,1139,4,0,1.000,1,9,4.5,14,1,1,1,1,as player,plyr/mgr: 1961
37,Don Baylor,9,1993,2002,627,689,.476,0,-62,1316,1,3,.250,2,6,3.9,12,1,0,0,0,as player,
38,John Beckwith,3,1925,1932,63,53,.543,1,10,117,0,0,,2,5,2.5,,0,0,0,0,as player,
39,Buddy Bell,9,1996,2007,519,724,.418,0,-205,1243,0,0,,3,5,4.6,42,0,0,0,0,as player,
40,David Bell,3,2019,2021,189,195,.492,0,-6,384,0,2,.000,2,4,3.3,16,1,0,0,0,as player,
41,William Bell,3,1935,1948,59,76,.437,4,-17,139,0,0,,3,8,4.6,,0,0,0,0,as player,
42,Vern Benson,1,1977,1977,1,0,1.000,0,1,1,0,0,,6,6,6.0,0,0,0,0,0,as player,
43,Yogi Berra HOF,7,1964,1985,484,444,.522,2,40,930,9,10,.474,1,5,2.6,13,2,0,2,1,as player,
44,Terry Bevington,3,1995,1997,222,214,.509,1,8,437,0,0,,2,3,2.3,8,0,0,0,0,,
45,Hugo Bezdek,3,1917,1919,166,187,.470,3,-21,356,0,0,,4,8,5.0,7,0,0,0,0,,
46,John Bickerton,1,1884,1884,0,1,.000,0,-1,1,0,0,,12,12,12.0,0,0,0,0,0,,
47,Joe Birmingham,4,1912,1915,170,191,.471,7,-21,368,0,0,,3,8,5.6,7,0,0,0,0,as player,plyr/mgr: 1912-1914
48,Del Bissonette,1,1945,1945,25,34,.424,1,-9,60,0,0,,6,6,6.0,1,0,0,0,0,as player,
49,Bud Black,14,2007,2021,998,1072,.482,0,-74,2070,1,4,.200,2,5,3.5,32,2,0,0,0,as player,
50,Lena Blackburne,2,1928,1929,99,133,.427,0,-34,232,0,0,,5,7,6.3,2,0,0,0,0,as player,plyr/mgr: 1929
51,Ray Blades,3,1939,1948,107,85,.557,3,22,195,0,0,,2,3,2.2,1,0,0,0,0,as player,
52,Walter Blair,1,1915,1915,1,1,.500,0,0,2,0,0,,6,6,6.0,0,0,0,0,0,as player,plyr/mgr: 1915
53,Ossie Bluege,5,1943,1947,375,394,.488,3,-19,772,0,0,,2,8,4.6,4,0,0,0,0,as player,
54,Bruce Bochy,25,1995,2019,2003,2029,.497,0,-26,4032,44,33,.571,1,5,3.0,77,8,3,4,4,as player,
55,Tim Bogar,1,2014,2014,14,8,.636,0,6,22,0,0,,5,5,5.0,0,0,0,0,0,as player,
56,John Boles,4,1996,2001,205,241,.460,0,-36,446,0,0,,3,5,3.7,5,0,0,0,0,,
57,Tommy Bond,1,1882,1882,2,4,.333,0,-2,6,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1882
58,Aaron Boone,4,2018,2021,328,218,.601,0,110,546,11,11,.500,1,2,1.7,17,4,0,0,0,as player,
59,Alonzo Boone,1,1948,1948,39,37,.513,2,2,78,0,0,,3,3,3.0,,0,0,0,0,as player,
60,Bob Boone,6,1995,2003,371,444,.455,0,-73,815,0,0,,2,5,4.1,8,0,0,0,0,as player,
61,Steve Boros,3,1983,1986,168,200,.457,0,-32,368,0,0,,4,4,4.0,1,0,0,0,0,as player,
62,Jim Bottomley HOF,1,1937,1937,21,56,.273,1,-35,78,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1937
63,Lou Boudreau HOF,16,1942,1960,1162,1224,.487,18,-62,2404,4,2,.667,1,8,4.8,17,1,1,1,1,as player,plyr/mgr: 1942-1952
64,Larry Bowa,6,1987,2004,418,435,.490,0,-17,853,0,0,,2,6,3.2,29,0,0,0,0,as player,
65,Frank Bowerman,1,1909,1909,22,54,.289,0,-32,76,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1909
66,Bill Boyd,1,1875,1875,0,2,.000,0,-2,2,0,0,,12,12,12.0,0,0,0,0,0,as player,plyr/mgr: 1875
67,Ken Boyer,3,1978,1980,166,190,.466,1,-24,357,0,0,,3,5,3.9,4,0,0,0,0,as player,
68,Bill Bradley,2,1905,1914,97,98,.497,3,-1,198,0,0,,5,5,5.0,4,0,0,0,0,as player,plyr/mgr: 1905-1914
69,Bobby Bragan,7,1956,1966,443,478,.481,6,-35,927,0,0,,4,7,5.7,19,0,0,0,0,as player,
70,Bob Brenly,4,2001,2004,303,262,.536,0,41,565,11,9,.550,1,5,2.1,11,2,1,1,1,as player,
71,Roger Bresnahan HOF,5,1909,1915,328,432,.432,14,-104,774,0,0,,4,7,5.8,29,0,0,0,0,as player,plyr/mgr: 1909-1915
72,Otto Briggs,2,1927,1934,36,59,.379,1,-23,96,0,0,,6,7,6.3,,0,0,0,0,as player,
73,Dave Bristol,11,1966,1980,657,764,.462,3,-107,1424,0,0,,3,7,4.9,37,0,0,0,0,,
74,Daren Brown,1,2010,2010,19,31,.380,0,-12,50,0,0,,4,4,4.0,0,0,0,0,0,,
75,Freeman Brown,1,1882,1882,9,32,.220,0,-23,41,0,0,,8,8,8.0,0,0,0,0,0,,
76,Jim Brown,3,1929,1932,128,119,.518,1,9,248,0,0,,3,12,4.7,,0,0,0,0,as player,
77,Larry Brown,6,1935,1948,176,267,.397,13,-91,456,0,0,,4,6,5.2,,0,0,0,0,as player,
78,Mordecai Brown HOF,1,1914,1914,50,63,.442,1,-13,114,0,0,,8,8,8.0,1,0,0,0,0,as player,plyr/mgr: 1914
79,Tom Brown,2,1897,1898,64,72,.471,1,-8,137,0,0,,6,11,7.4,2,0,0,0,0,as player,plyr/mgr: 1897-1898
80,Earle Brucker,1,1952,1952,3,2,.600,0,1,5,0,0,,6,6,6.0,0,0,0,0,0,as player,
81,Al Buckenberger,9,1889,1904,488,539,.475,16,-51,1043,0,0,,2,11,5.1,0,0,0,0,0,,
82,Charlie Buffinton,1,1890,1890,61,54,.530,1,7,116,0,0,,5,5,5.0,0,0,0,0,0,as player,plyr/mgr: 1890
83,Walter Burch,1,1942,1942,13,9,.591,1,4,23,0,0,,1,1,1.0,,0,0,0,0,as player,
84,Jack Burdock,1,1883,1883,30,24,.556,0,6,54,0,0,,1,1,1.0,0,0,0,0,0,as player,plyr/mgr: 1883
85,Jimmy Burke,4,1905,1920,206,236,.466,3,-30,445,0,0,,4,6,4.9,1,0,0,0,0,as player,plyr/mgr: 1905
86,Tex Burnett,5,1937,1943,72,131,.355,5,-59,208,0,0,,2,7,4.7,,0,0,0,0,as player,
87,Watch Burnham,1,1887,1887,6,22,.214,0,-16,28,0,0,,8,8,8.0,0,0,0,0,0,,
88,Tom Burns,3,1892,1899,187,170,.524,7,17,364,0,0,,4,8,5.9,0,0,0,0,0,as player,plyr/mgr: 1892
89,Bill Burwell,1,1947,1947,1,0,1.000,0,1,1,0,0,,7,7,7.0,0,0,0,0,0,as player,
90,Donie Bush,7,1923,1933,497,539,.480,9,-42,1045,0,4,.000,1,8,4.9,18,1,0,1,0,as player,plyr/mgr: 1923
91,Ormond Butler,1,1883,1883,17,36,.321,0,-19,53,0,0,,7,7,7.0,0,0,0,0,0,,
92,Charlie Byrne,3,1885,1887,174,172,.503,8,2,354,0,0,,3,6,4.6,0,0,0,0,0,,
93,Jimmy Callahan,7,1903,1917,394,458,.462,14,-64,866,0,0,,3,8,5.8,15,0,0,0,0,as player,plyr/mgr: 1903-1913
94,Mickey Callaway,2,2018,2019,163,161,.503,0,2,324,0,0,,3,4,3.5,6,0,0,0,0,as player,
95,Count Campau,1,1890,1890,27,14,.659,1,13,42,0,0,,3,3,3.0,0,0,0,0,0,as player,plyr/mgr: 1890
96,Walter Cannady,1,1938,1938,11,28,.282,1,-17,40,0,0,,6,6,6.0,,0,0,0,0,as player,
97,Joe Cantillon,3,1907,1909,158,297,.347,10,-139,465,0,0,,7,8,7.7,3,0,0,0,0,,
98,Max Carey HOF,2,1932,1933,146,161,.476,4,-15,311,0,0,,3,6,4.5,7,0,0,0,0,as player,
99,Tom Carey,2,1873,1874,27,21,.563,1,6,49,0,0,,2,3,2.5,0,0,0,0,0,as player,plyr/mgr: 1873-1874
100,Bill Carrigan,7,1913,1929,489,500,.494,14,-11,1003,8,2,.800,1,8,4.6,7,2,2,2,0,as player,plyr/mgr: 1913-1916
101,Bob Caruthers,1,1892,1892,16,32,.333,2,-16,50,0,0,,11,11,11.0,0,0,0,0,0,as player,plyr/mgr: 1892
102,Kevin Cash,7,2015,2021,554,478,.537,0,76,1032,15,15,.500,1,5,2.9,11,3,0,1,1,as player,
103,Phil Cavarretta,3,1951,1953,169,213,.442,2,-44,384,0,0,,5,8,6.4,8,0,0,0,0,as player,plyr/mgr: 1951-1953
104,Ollie Caylor,3,1885,1887,163,182,.472,8,-19,353,0,0,,2,7,4.6,0,0,0,0,0,,
105,Pelayo Chacón,5,1923,1927,103,112,.479,3,-9,218,0,0,,2,8,4.6,,0,0,0,0,as player,
106,Frank Chance HOF,11,1905,1923,946,648,.593,26,298,1620,11,9,.550,1,8,3.1,15,4,2,4,0,as player,plyr/mgr: 1905-1914
107,Ben Chapman,4,1945,1948,196,276,.415,2,-80,474,0,0,,5,8,6.7,10,0,0,0,0,as player,plyr/mgr: 1945-1946
108,Jack Chapman,11,1876,1892,350,501,.411,16,-151,867,3,3,.500,1,11,6.1,0,0,0,1,0,as player,plyr/mgr: 1876
109,Oscar Charleston HOF,14,1924,1948,420,377,.527,7,43,804,4,3,.571,1,7,3.0,,3,0,3,0,as player,
110,Hal Chase,2,1910,1911,86,80,.518,1,6,167,0,0,,2,6,5.7,0,0,0,0,0,as player,plyr/mgr: 1910-1911
111,John Clapp,6,1872,1883,174,237,.423,9,-63,420,0,0,,3,9,6.0,0,0,0,0,0,as player,plyr/mgr: 1872-1883
112,Dave Clark,1,2009,2009,4,9,.308,0,-5,13,0,0,,5,5,5.0,0,0,0,0,0,as player,
113,Bob Clarke,2,1936,1937,45,48,.484,3,-3,96,0,0,,2,4,3.2,,0,0,0,0,as player,
114,Fred Clarke HOF,19,1897,1915,1602,1181,.576,43,421,2826,7,8,.467,1,11,3.7,35,2,1,4,0,as player,plyr/mgr: 1897-1915
115,Jack Clements,1,1890,1890,13,6,.684,0,7,19,0,0,,3,3,3.0,0,0,0,0,0,as player,plyr/mgr: 1890
116,Jim Clinton,1,1872,1872,0,11,.000,0,-11,11,0,0,,9,9,9.0,0,0,0,0,0,as player,plyr/mgr: 1872
117,Ty Cobb HOF,6,1921,1926,479,444,.519,10,35,933,0,0,,2,6,4.0,5,0,0,0,0,as player,plyr/mgr: 1921-1926
118,Mickey Cochrane HOF,5,1934,1938,348,250,.582,2,98,600,7,6,.538,1,4,1.8,0,2,1,2,1,as player,plyr/mgr: 1934-1937
119,Phil Cockrell,2,1929,1932,44,36,.550,4,8,84,0,0,,3,7,3.2,,0,0,0,0,as player,
120,Andy Cohen,1,1960,1960,1,0,1.000,0,1,1,0,0,,8,8,8.0,0,0,0,0,0,as player,
121,Bob Coleman,3,1943,1945,128,165,.437,2,-37,295,0,0,,6,6,6.0,0,0,0,0,0,as player,
122,Jerry Coleman,1,1980,1980,73,89,.451,1,-16,163,0,0,,6,6,6.0,3,0,0,0,0,as player,
123,Eddie Collins HOF,3,1924,1926,174,160,.521,2,14,336,0,0,,5,6,5.1,2,0,0,0,0,as player,plyr/mgr: 1924-1926
124,Jimmy Collins HOF,6,1901,1906,455,376,.548,11,79,842,5,3,.625,1,8,3.0,6,1,1,2,0,as player,plyr/mgr: 1901-1906
125,Shano Collins,2,1931,1932,73,134,.353,1,-61,208,0,0,,6,8,6.5,0,0,0,0,0,as player,
126,Terry Collins,13,1994,2017,995,1017,.495,0,-22,2012,8,7,.533,1,4,2.6,40,2,0,1,1,,
127,Charlie Comiskey HOF,12,1883,1894,839,540,.608,29,299,1408,16,21,.432,1,10,3.4,2,0,1,4,0,as player,plyr/mgr: 1883-1894
128,Roger Connor HOF,1,1896,1896,8,37,.178,1,-29,46,0,0,,11,11,11.0,0,0,0,0,0,as player,plyr/mgr: 1896
129,Dusty Cooke,1,1948,1948,6,6,.500,1,0,13,0,0,,6,6,6.0,0,0,0,0,0,as player,
130,Jack Coombs,1,1919,1919,18,44,.290,1,-26,63,0,0,,8,8,8.0,0,0,0,0,0,as player,
131,Johnny Cooney,1,1949,1949,20,25,.444,1,-5,46,0,0,,4,4,4.0,0,0,0,0,0,as player,
132,Andy Cooper HOF,4,1937,1940,173,89,.660,4,84,266,9,2,.818,1,1,1.0,,3,0,3,0,as player,
133,Cecil Cooper,3,2007,2009,171,170,.501,0,1,341,0,0,,3,4,3.5,9,0,0,0,0,as player,
134,Don Cooper,1,2011,2011,1,1,.500,0,0,2,0,0,,3,3,3.0,0,0,0,0,0,as player,
135,Alex Cora,3,2018,2021,284,202,.584,0,82,486,17,8,.680,1,3,2.0,5,2,1,1,1,as player,
136,Pat Corrales,9,1978,1987,572,634,.474,5,-62,1211,0,0,,1,7,4.6,38,0,0,0,0,as player,
137,Red Corriden,1,1950,1950,52,72,.419,1,-20,125,0,0,,6,6,6.0,0,0,0,0,0,as player,
138,Chuck Cottier,3,1984,1986,98,119,.452,0,-21,217,0,0,,5,7,6.0,5,0,0,0,0,as player,
139,Craig Counsell,7,2015,2021,529,479,.525,0,50,1008,7,10,.412,1,4,2.4,23,4,0,0,0,as player,
140,Bobby Cox HOF,29,1978,2010,2504,2001,.556,3,503,4508,67,69,.493,1,6,2.4,162,16,1,5,5,as player,
141,Roosevelt Cox,1,1937,1937,1,6,.143,0,-5,7,0,0,,6,6,6.0,,0,0,0,0,as player,
142,Harry Craft,7,1957,1964,360,485,.426,4,-125,849,0,0,,7,9,7.9,11,0,0,0,0,as player,
143,Roger Craig,10,1978,1992,738,737,.500,0,1,1475,7,9,.438,1,6,3.4,13,2,0,1,1,as player,
144,Del Crandall,6,1972,1984,364,469,.437,0,-105,833,0,0,,5,7,5.4,9,0,0,0,0,as player,
145,Sam Crane,2,1880,1884,73,79,.480,2,-6,154,0,0,,3,7,5.2,0,0,0,0,0,as player,plyr/mgr: 1880-1884
146,Gavvy Cravath,2,1919,1920,91,137,.399,0,-46,228,0,0,,8,8,8.0,1,0,0,0,0,as player,plyr/mgr: 1919-1920
147,Bill Craver,5,1871,1876,91,101,.474,3,-10,195,0,0,,2,11,4.9,0,0,0,0,0,as player,plyr/mgr: 1871-1875
148,Sam Crawford,6,1921,1928,166,163,.505,4,3,333,0,0,,1,8,3.2,,0,0,0,0,as player,
149,George Creamer,1,1884,1884,0,8,.000,0,-8,8,0,0,,10,10,10.0,0,0,0,0,0,as player,plyr/mgr: 1884
150,Joe Cronin HOF,15,1933,1947,1236,1055,.540,24,181,2315,4,8,.333,1,7,3.9,8,2,0,2,3,as player,plyr/mgr: 1933-1945
151,Jack Crooks,1,1892,1892,27,33,.450,2,-6,62,0,0,,9,11,9.5,2,0,0,0,0,as player,plyr/mgr: 1892
152,Lave Cross,1,1899,1899,8,30,.211,0,-22,38,0,0,,12,12,12.0,2,0,0,0,0,as player,plyr/mgr: 1899
153,Mike Cubbage,1,1991,1991,3,4,.429,0,-1,7,0,0,,5,5,5.0,0,0,0,0,0,as player,
154,Goose Curry,8,1932,1947,223,227,.496,13,-4,463,0,0,,3,9,5.1,,0,0,0,0,as player,
155,Ed Curtis,1,1884,1884,6,19,.240,0,-13,25,0,0,,10,10,10.0,0,0,0,0,0,,
156,Charlie Cushman,1,1891,1891,21,15,.583,0,6,36,0,0,,3,3,3.0,0,0,0,0,0,,
157,Ned Cuthbert,1,1882,1882,37,43,.463,0,-6,80,0,0,,5,5,5.0,0,0,0,0,0,as player,plyr/mgr: 1882
158,Bill Dahlen,4,1910,1913,251,355,.414,9,-104,615,0,0,,6,7,6.5,36,0,0,0,0,as player,plyr/mgr: 1910-1911
159,Al Dark,13,1961,1977,994,954,.510,2,40,1950,10,9,.526,1,10,4.0,25,3,1,2,2,as player,
160,Jim Davenport,1,1985,1985,56,88,.389,0,-32,144,0,0,,6,6,6.0,0,0,0,0,0,as player,
161,Mordecai Davidson,1,1888,1888,35,54,.393,4,-19,93,0,0,,7,7,7.0,0,0,0,0,0,,
162,George Davis HOF,3,1895,1901,107,139,.435,6,-32,252,0,0,,7,9,7.6,4,0,0,0,0,as player,plyr/mgr: 1895-1901
163,Harry Davis,1,1912,1912,54,71,.432,2,-17,127,0,0,,5,5,5.0,1,0,0,0,0,as player,plyr/mgr: 1912
164,Piper Davis,1,1948,1948,51,27,.654,1,24,79,5,7,.417,2,2,2.0,,1,0,1,0,as player,
165,Spud Davis,1,1946,1946,1,2,.333,0,-1,3,0,0,,7,7,7.0,0,0,0,0,0,as player,
166,John Day,1,1899,1899,29,35,.453,2,-6,66,0,0,,10,10,10.0,0,0,0,0,0,,
167,Harry Deane,1,1871,1871,2,3,.400,0,-1,5,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1871
168,Tony DeFrancesco,1,2012,2012,16,25,.390,0,-9,41,0,0,,6,6,6.0,0,0,0,0,0,,
169,Bingo DeMoss,8,1926,1944,297,304,.494,1,-7,602,3,4,.429,3,6,4.4,,1,0,0,0,as player,
170,Bucky Dent,2,1989,1990,36,53,.404,0,-17,89,0,0,,5,7,6.1,1,0,0,0,0,as player,
171,Bill Dickey HOF,1,1946,1946,57,48,.543,0,9,105,0,0,,3,3,3.0,0,0,0,0,0,as player,plyr/mgr: 1946
172,Harry Diddlebock,1,1896,1896,7,10,.412,0,-3,17,0,0,,11,11,11.0,0,0,0,0,0,,
173,Larry Dierker,5,1997,2001,435,348,.556,0,87,783,2,12,.143,1,4,1.6,6,4,0,0,0,as player,
174,Martín Dihigo HOF,2,1935,1936,58,51,.532,6,7,115,3,4,.429,2,4,3.0,,1,0,0,0,as player,
175,Dizzy Dismukes,9,1922,1938,199,280,.415,6,-81,485,0,0,,1,8,5.3,,0,0,0,0,as player,
176,Rap Dixon,1,1934,1934,4,9,.308,2,-5,15,0,0,,5,5,5.0,,0,0,0,0,as player,
177,Larry Doby HOF,1,1978,1978,37,50,.425,0,-13,87,0,0,,5,5,5.0,3,0,0,0,0,as player,
178,Bill Donovan,4,1915,1921,245,301,.449,6,-56,552,0,0,,4,8,5.5,5,0,0,0,0,as player,plyr/mgr: 1915-1916
179,Patsy Donovan,11,1897,1911,684,879,.438,34,-195,1597,0,0,,4,8,6.0,6,0,0,0,0,as player,plyr/mgr: 1897-1907
180,Red Dooin,5,1910,1914,392,370,.514,13,22,775,0,0,,2,6,4.2,21,0,0,0,0,as player,plyr/mgr: 1910-1914
181,Mike Dorgan,3,1879,1881,67,70,.489,1,-3,138,0,0,,2,8,6.0,0,0,0,0,0,as player,plyr/mgr: 1879-1881
182,Eddie Douglass,3,1923,1925,45,61,.425,3,-16,109,0,0,,3,6,4.8,,0,0,0,0,as player,
183,Tommy Dowd,2,1896,1897,31,60,.341,1,-29,92,0,0,,11,12,11.3,0,0,0,0,0,as player,plyr/mgr: 1896-1897
184,Bunny Downs,1,1943,1943,25,29,.463,2,-4,56,0,0,,6,6,6.0,,0,0,0,0,as player,
185,Jack Doyle,2,1895,1898,40,40,.500,1,0,81,0,0,,9,11,9.4,2,0,0,0,0,as player,plyr/mgr: 1895-1898
186,Reinaldo Drake,1,1947,1947,4,9,.308,1,-5,14,0,0,,5,5,5.0,,0,0,0,0,as player,
187,Chuck Dressen,16,1934,1966,1008,973,.509,9,35,1990,5,8,.385,1,8,4.5,18,2,0,2,1,as player,
188,Hugh Duffy HOF,8,1901,1922,535,671,.444,15,-136,1221,0,0,,4,8,5.8,10,0,0,0,0,as player,plyr/mgr: 1901-1906
189,Frank Duncan,3,1926,1928,19,59,.244,0,-40,78,0,0,,6,8,6.7,,0,0,0,0,as player,
190,Frank Duncan,6,1942,1947,281,212,.570,7,69,500,7,4,.636,1,4,2.0,,2,1,2,0,as player,
191,Fred Dunlap,4,1882,1889,145,102,.587,5,43,252,0,0,,1,8,4.5,0,0,0,1,0,as player,plyr/mgr: 1882-1889
192,Jake Dunn,2,1939,1940,40,40,.500,1,0,81,2,3,.400,4,6,4.7,,1,0,0,0,as player,
193,Leo Durocher HOF,24,1939,1973,2008,1709,.540,22,299,3739,7,8,.467,1,10,3.2,100,3,1,3,4,as player,plyr/mgr: 1939-1945
194,Frank Dwyer,1,1902,1902,52,83,.385,2,-31,137,0,0,,7,7,7.0,0,0,0,0,0,as player,
195,Eddie Dyer,5,1946,1950,446,325,.578,6,121,777,4,3,.571,1,5,2.4,6,1,1,1,1,as player,
196,Jimmy Dykes,21,1934,1961,1406,1541,.477,15,-135,2962,0,0,,3,8,5.1,51,0,0,0,0,as player,plyr/mgr: 1934-1939
197,Charlie Ebbets,1,1898,1898,38,68,.358,4,-30,110,0,0,,10,10,10.0,0,0,0,0,0,,
198,Doc Edwards,3,1987,1989,173,207,.455,0,-34,380,0,0,,6,7,6.2,2,0,0,0,0,as player,
199,Mack Eggleston,1,1925,1925,7,12,.368,2,-5,21,0,0,,7,7,7.0,,0,0,0,0,as player,
200,Kid Elberfeld,1,1908,1908,27,71,.276,0,-44,98,0,0,,8,8,8.0,4,0,0,0,0,as player,plyr/mgr: 1908
201,Lee Elia,4,1982,1988,238,300,.442,1,-62,539,0,0,,4,6,5.1,9,0,0,0,0,as player,
202,Joe Ellick,1,1884,1884,6,6,.500,1,0,13,0,0,,5,5,5.0,0,0,0,0,0,as player,plyr/mgr: 1884
203,Bob Elliott,1,1960,1960,58,96,.377,1,-38,155,0,0,,8,8,8.0,0,0,0,0,0,as player,
204,Jewel Ens,3,1929,1931,176,167,.513,1,9,344,0,0,,2,5,4.7,0,0,0,0,0,as player,
205,Cal Ermer,2,1967,1968,145,129,.529,2,16,276,0,0,,2,7,4.9,7,0,0,0,0,as player,
206,Jim Essian,1,1991,1991,59,63,.484,0,-4,122,0,0,,4,4,4.0,1,0,0,0,0,as player,
207,Dude Esterbrook,1,1889,1889,2,8,.200,0,-6,10,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1889
208,Johnny Evers HOF,3,1913,1924,180,192,.484,3,-12,375,0,0,,3,8,5.6,13,0,0,0,0,as player,plyr/mgr: 1913
209,Buck Ewing HOF,7,1890,1900,489,395,.553,19,94,903,0,0,,3,8,4.7,1,0,0,0,0,as player,plyr/mgr: 1890-1897
210,Jay Faatz,1,1890,1890,9,24,.273,1,-15,34,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1890
211,Bibb Falk,1,1933,1933,1,0,1.000,0,1,1,0,0,,4,4,4.0,0,0,0,0,0,as player,
212,Jim Fanning,3,1981,1984,116,103,.530,0,13,219,5,5,.500,1,5,3.0,2,1,0,0,0,as player,
213,Jack Farrell,1,1881,1881,24,27,.471,0,-3,51,0,0,,2,2,2.0,0,0,0,0,0,as player,plyr/mgr: 1881
214,John Farrell,7,2011,2017,586,548,.517,0,38,1134,12,11,.522,1,5,3.0,18,3,1,1,1,as player,
215,Kerby Farrell,1,1957,1957,76,77,.497,0,-1,153,0,0,,6,6,6.0,4,0,0,0,0,as player,
216,John Felske,3,1985,1987,190,194,.495,0,-4,384,0,0,,2,5,3.6,1,0,0,0,0,as player,
217,Bob Ferguson,16,1871,1887,417,516,.447,16,-99,949,0,0,,3,10,5.5,0,0,0,0,0,as player,plyr/mgr: 1871-1884
218,José María Fernández,12,1928,1948,280,326,.462,18,-46,624,4,1,.800,1,7,4.1,,2,1,1,0,as player,
219,Mike Ferraro,2,1983,1986,76,98,.437,0,-22,174,0,0,,3,7,5.3,3,0,0,0,0,as player,
220,Wally Fessenden,1,1890,1890,4,7,.364,0,-3,11,0,0,,6,6,6.0,0,0,0,0,0,,
221,Freddie Fitzsimmons,3,1943,1945,104,180,.366,2,-76,286,0,0,,7,8,7.8,1,0,0,0,0,as player,
222,Art Fletcher,5,1923,1929,237,383,.382,3,-146,623,0,0,,2,8,7.2,12,0,0,0,0,as player,
223,Silver Flint,1,1879,1879,5,12,.294,2,-7,19,0,0,,4,4,4.0,0,0,0,0,0,as player,plyr/mgr: 1879
224,Jim Fogarty,1,1890,1890,7,9,.438,0,-2,16,0,0,,5,5,5.0,0,0,0,0,0,as player,plyr/mgr: 1890
225,Horace Fogel,2,1887,1902,38,72,.345,4,-34,114,0,0,,8,8,8.0,0,0,0,0,0,,
226,Lee Fohl,11,1915,1926,713,792,.474,16,-79,1521,0,0,,2,8,5.0,4,0,0,0,0,as player,
227,Lew Fonseca,3,1932,1934,120,196,.380,2,-76,318,0,0,,6,8,6.6,1,0,0,0,0,as player,plyr/mgr: 1932-1933
228,Rube Foster HOF,7,1920,1926,336,195,.633,11,141,542,0,0,,1,3,2.0,,3,0,3,0,,
229,Dave Foutz,4,1893,1896,264,257,.507,11,7,532,0,0,,5,10,6.7,0,0,0,0,0,as player,plyr/mgr: 1893-1896
230,Charlie Fox,7,1970,1983,377,371,.504,0,6,748,1,3,.250,1,6,3.4,4,1,0,0,0,as player,
231,Terry Francona,21,1997,2021,1782,1516,.540,0,266,3298,40,31,.563,1,5,2.4,44,10,2,3,2,as player,
232,Herman Franks,7,1965,1979,605,521,.537,2,84,1128,0,0,,2,5,2.8,16,0,0,0,0,as player,
233,George Frazier,1,1890,1890,51,65,.440,1,-14,117,0,0,,6,6,6.0,0,0,0,0,0,,
234,Joe Frazier,2,1976,1977,101,106,.488,0,-5,207,0,0,,3,6,3.7,3,0,0,0,0,as player,
235,Jim Fregosi,15,1978,2000,1028,1094,.484,0,-66,2122,7,9,.438,1,6,3.7,46,2,0,1,1,as player,
236,Jim Frey,5,1980,1986,323,287,.530,1,36,611,7,7,.500,1,5,2.5,13,2,0,1,1,,
237,Frankie Frisch HOF,16,1933,1951,1138,1078,.514,30,60,2246,4,3,.571,1,8,4.3,88,1,1,1,1,as player,plyr/mgr: 1933-1937
238,Judge Fuchs,1,1929,1929,56,98,.364,0,-42,154,0,0,,8,8,8.0,0,0,0,0,0,,
239,John Gaffney,2,1886,1887,61,101,.377,7,-40,169,0,0,,7,8,7.3,0,0,0,0,0,,
240,Matt Galante,1,1999,1999,13,14,.481,0,-1,27,0,0,,2,2,2.0,0,0,0,0,0,,
241,Pud Galvin HOF,1,1885,1885,7,17,.292,0,-10,24,0,0,,7,7,7.0,0,0,0,0,0,as player,plyr/mgr: 1885
242,Judy Gans,2,1924,1925,39,60,.394,3,-21,102,0,0,,3,8,4.8,,0,0,0,0,as player,
243,John Ganzel,2,1908,1915,90,99,.476,1,-9,190,0,0,,5,7,5.4,3,0,0,0,0,as player,plyr/mgr: 1908
244,Dave Garcia,6,1977,1982,307,311,.497,0,-4,618,0,0,,2,7,5.7,2,0,0,0,0,,
245,Ron Gardenhire,16,2002,2020,1200,1280,.484,0,-80,2480,6,21,.222,1,5,2.8,84,6,0,0,0,as player,
