Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
815,Jimmy Wood,5,1871,1875,105,99,.515,2,6,206,0,0,,2,9,4.7,0,0,0,0,0,as player,plyr/mgr: 1871-1873
816,Parnell Woods,3,1942,1944,116,98,.542,2,18,216,0,0,,1,3,1.6,,0,0,0,0,as player,
817,Chris Woodward,3,2019,2021,160,224,.417,0,-64,384,0,0,,3,5,4.2,6,0,0,0,0,as player,
818,Al Wright,1,1876,1876,14,45,.237,1,-31,60,0,0,,7,7,7.0,0,0,0,0,0,,
819,George Wright HOF,1,1879,1879,59,25,.702,1,34,85,0,0,,1,1,1.0,0,0,0,1,0,as player,plyr/mgr: 1879
820,Harry Wright HOF,23,1871,1893,1225,885,.581,35,340,2145,0,0,,1,6,3.2,0,0,0,6,0,as player,plyr/mgr: 1871-1877
821,Rudy York,1,1959,1959,0,1,.000,0,-1,1,0,0,,5,5,5.0,0,0,0,0,0,as player,
822,Tom York,2,1878,1881,56,37,.602,3,19,96,0,0,,2,3,2.6,0,0,0,0,0,as player,plyr/mgr: 1878-1881
823,Eddie Yost,1,1963,1963,0,1,.000,0,-1,1,0,0,,10,10,10.0,0,0,0,0,0,as player,
824,Ned Yost,16,2003,2019,1203,1341,.473,0,-138,2544,22,9,.710,1,6,3.5,47,2,1,2,2,as player,
825,Cy Young HOF,1,1907,1907,3,3,.500,0,0,6,0,0,,7,7,7.0,0,0,0,0,0,as player,plyr/mgr: 1907
826,Nick Young,3,1871,1873,25,53,.321,2,-28,80,0,0,,4,8,5.9,0,0,0,0,0,,
827,Charles Zimmer,1,1903,1903,49,86,.363,4,-37,139,0,0,,7,7,7.0,0,0,0,0,0,as player,plyr/mgr: 1903
828,Don Zimmer,13,1972,1991,885,858,.508,1,27,1744,1,4,.200,1,6,3.8,20,1,0,0,0,as player,
