Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Andres Machado,29,0,Maj-NL,"Jun 22, 2022",Washington,@,Baltimore,1,0,,,,0.1,0,0,0,0,0,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,5,0.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,600921
Nick Martinez,31,0,Maj-NL,"Jun 22, 2022",San Diego,,Arizona,1,0,,,1.0,3.2,3,2,1,1,3,1,0,2.45,,16,0,0,0,0,0,0,0,0,17,53,0.75,0.23,0.17,0.62,0.15,0.0,1.091,0.167,7.4,3.0,607259
Tim Mayza,30,0,Maj-AL,"Jun 22, 2022",Toronto,@,Chicago,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,13,0.77,0.08,0.15,0.0,0.67,0.0,1.0,0.333,9.0,,641835
Jake McGee,35,0,Maj-NL,"Jun 22, 2022",San Francisco,@,Atlanta,1,0,,1.0,,0.1,3,3,3,0,0,1,0,81.0,,4,0,0,0,0,0,0,0,0,4,19,0.58,0.16,0.05,0.5,0.0,0.0,9.0,0.667,0.0,,459429
Triston McKenzie,24,0,Maj-AL,"Jun 22, 2022",Cleveland,@,Minnesota,1,1,,,,4.1,9,6,6,1,5,3,0,12.46,25,20,1,1,0,1,1,0,0,0,22,77,0.65,0.06,0.14,0.25,0.31,0.0,2.308,0.462,10.4,5.0,663474
Daniel Mengden,29,0,Maj-AL,"Jun 22, 2022",Kansas City,@,Los Angeles,1,0,,,,0.1,0,0,0,0,1,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,4,0.75,0.0,0.5,,,,0.0,,27.0,,596043
Hoby Milner,31,0,Maj-NL,"Jun 22, 2022",Milwaukee,,St. Louis,1,0,,,,1.0,1,0,0,1,3,0,0,0.0,,4,1,0,0,0,0,0,0,0,5,28,0.64,0.18,0.14,0.0,0.0,0.0,2.0,1.0,27.0,3.0,571948
Tommy Milone,35,0,Maj-AL,"Jun 22, 2022",Seattle,@,Oakland,1,0,,,,2.0,1,0,0,0,0,0,0,0.0,,7,0,0,0,0,0,0,0,0,7,27,0.67,0.22,0.0,0.29,0.29,0.0,0.5,0.143,0.0,,543548
A.J. Minter,28,0,Maj-NL,"Jun 22, 2022",Atlanta,,San Francisco,1,0,1.0,,,1.0,2,1,1,0,2,0,1,9.0,,5,0,0,0,0,0,0,0,0,6,26,0.69,0.23,0.15,0.67,0.0,0.0,2.0,0.667,18.0,,621345
Rafael Montero,31,0,Maj-AL,"Jun 22, 2022",Houston,,New York,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,16,0.69,0.25,0.06,0.5,0.5,0.0,1.0,0.5,18.0,,606160
Jordan Montgomery,29,0,Maj-AL,"Jun 22, 2022",New York,@,Tampa Bay,1,1,,,,6.0,9,4,4,2,2,2,0,6.0,38,24,1,0,0,1,0,0,0,1,26,81,0.65,0.2,0.09,0.45,0.32,0.05,1.833,0.35,3.0,1.0,656756
Matt Moore,33,0,Maj-AL,"Jun 22, 2022",Texas,,Philadelphia,1,0,,,,1.1,0,0,0,1,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,5,20,0.65,0.2,0.1,0.33,0.0,0.0,0.75,0.0,6.8,1.0,519043
Adri\xc3\xa1n Morej\xc3\xb3n,23,0,Maj-NL,"Jun 22, 2022",San Diego,,Arizona,1,0,1.0,,,1.1,1,1,0,1,0,0,0,0.0,,6,0,0,0,0,0,0,0,0,7,26,0.62,0.15,0.04,0.5,0.33,0.0,1.5,0.167,0.0,0.0,670970
Dauri Moreta,26,0,Maj-NL,"Jun 22, 2022",Cincinnati,,Los Angeles,1,0,,,,1.0,2,0,0,0,1,0,0,0.0,,5,0,0,0,0,0,0,0,0,5,16,0.69,0.13,0.06,0.25,0.5,0.0,2.0,0.5,9.0,,664294
Charlie Morton,38,0,Maj-NL,"Jun 22, 2022",Atlanta,,San Francisco,1,1,,,,7.0,3,2,2,0,11,2,0,2.57,74,26,0,0,0,0,0,1,0,0,26,105,0.65,0.24,0.12,0.53,0.27,0.0,0.429,0.077,14.1,,450203
Penn Murfee,28,0,Maj-AL,"Jun 22, 2022",Seattle,@,Oakland,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,13,0.69,0.31,0.15,0.67,0.33,0.0,1.0,0.333,9.0,,682171
Hector Neris,33,0,Maj-AL,"Jun 22, 2022",Houston,,New York,1,0,,,,1.0,0,0,0,0,1,0,1,0.0,,3,0,0,0,0,0,0,0,0,4,16,0.63,0.13,0.13,0.5,0.0,0.0,0.0,0.0,9.0,,593576
Sheldon Neuse,27,0,Maj-AL,"Jun 22, 2022",Oakland,,Seattle,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.58,0.25,0.0,0.0,0.33,0.0,0.0,0.0,0.0,,641914
Daniel Norris,29,0,Maj-NL,"Jun 22, 2022",Chicago,@,Pittsburgh,1,0,,,,1.0,1,4,0,1,2,0,1,0.0,,6,1,0,0,0,0,0,0,0,8,41,0.59,0.17,0.15,0.75,0.0,0.0,2.0,0.25,18.0,2.0,596057
Shohei Ohtani,27,0,Maj-AL,"Jun 22, 2022",Los Angeles,,Kansas City,1,1,1.0,,,8.0,2,0,0,1,13,0,0,0.0,90,25,0,0,0,1,0,0,0,0,26,108,0.66,0.3,0.11,0.5,0.17,0.17,0.375,0.167,14.6,13.0,660271
Steven Okert,30,0,Maj-NL,"Jun 22, 2022",Miami,,Colorado,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,17,0.71,0.24,0.12,0.67,0.0,0.0,1.0,0.333,9.0,,595345
Johan Oviedo,24,0,Maj-NL,"Jun 22, 2022",St. Louis,@,Milwaukee,1,0,1.0,,,2.1,0,0,0,0,3,0,0,0.0,,7,0,0,0,0,0,0,0,0,7,32,0.63,0.25,0.09,0.75,0.0,0.0,0.0,0.0,11.6,,670912
Emilio Pagan,31,0,Maj-AL,"Jun 22, 2022",Minnesota,,Cleveland,1,0,,,,1.0,3,3,3,0,3,0,0,27.0,,6,1,0,0,0,0,0,0,0,6,24,0.67,0.21,0.04,0.67,0.33,0.0,3.0,1.0,27.0,,641941
Wily Peralta,33,0,Maj-AL,"Jun 22, 2022",Detroit,@,Boston,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,19,0.58,0.21,0.0,0.25,0.0,0.5,1.0,0.25,0.0,,503449
David Phelps,35,0,Maj-AL,"Jun 22, 2022",Toronto,@,Chicago,1,0,,,,1.0,3,1,1,0,1,0,0,9.0,,6,0,1,0,0,0,0,0,0,6,23,0.57,0.13,0.13,0.2,0.4,0.2,3.0,0.6,9.0,,475479
Colin Poche,28,0,Maj-AL,"Jun 22, 2022",Tampa Bay,,New York,1,0,,,,0.2,1,1,1,1,0,1,0,13.5,,3,0,0,0,0,0,0,0,0,4,15,0.6,0.13,0.0,0.0,0.33,0.33,3.0,0.0,0.0,0.0,621363
Ryan Pressly,33,0,Maj-AL,"Jun 22, 2022",Houston,,New York,1,0,,,1.0,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.71,0.07,0.29,0.0,1.0,0.0,0.0,0.0,18.0,,519151
Austin Pruitt,32,0,Maj-AL,"Jun 22, 2022",Oakland,,Seattle,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.62,0.15,0.23,0.5,0.0,0.0,0.0,0.0,9.0,,643493
