Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Lou Trivino,30,0,Maj-AL,"Jun 22, 2022",Oakland,,Seattle,1,0,,,,0.2,2,0,0,0,1,0,0,0.0,,4,1,0,0,0,0,0,0,0,4,15,0.6,0.13,0.2,1.0,0.0,0.0,3.0,0.667,13.5,,642152
Alex Vesia,26,0,Maj-NL,"Jun 22, 2022",Los Angeles,@,Cincinnati,1,0,1.0,,,1.0,1,0,0,0,2,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,17,0.76,0.06,0.24,0.0,0.5,0.0,1.0,0.5,18.0,,681911
Nick Vespi,26,0,Maj-AL,"Jun 22, 2022",Baltimore,,Washington,1,0,,,1.0,1.0,0,0,0,1,0,0,0,0.0,,2,0,0,0,1,0,0,0,0,3,12,0.67,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,663989
Michael Wacha,30,0,Maj-AL,"Jun 22, 2022",Boston,,Detroit,1,1,1.0,,,6.0,5,2,2,2,7,1,0,3.0,59,23,1,0,0,0,0,0,0,0,25,98,0.62,0.16,0.06,0.44,0.38,0.06,1.167,0.267,10.5,3.5,608379
Adam Wainwright,40,0,Maj-NL,"Jun 22, 2022",St. Louis,@,Milwaukee,1,1,,,,4.2,7,4,4,1,7,2,0,7.71,40,21,3,0,0,0,0,0,0,0,22,101,0.6,0.21,0.03,0.36,0.29,0.0,1.714,0.417,13.5,7.0,425794
Art Warren,29,0,Maj-NL,"Jun 22, 2022",Cincinnati,,Los Angeles,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,2,0,0,0,0,1,0,0,0,3,16,0.69,0.13,0.13,0.0,0.0,0.0,0.0,0.0,9.0,,605521
Luke Weaver,28,0,Maj-NL,"Jun 22, 2022",Arizona,@,San Diego,1,0,,,,1.0,4,2,2,0,2,0,0,18.0,,7,0,0,0,0,0,0,0,0,7,36,0.67,0.11,0.11,0.6,0.4,0.0,4.0,0.8,18.0,,596133
Tyler Wells,27,0,Maj-AL,"Jun 22, 2022",Baltimore,,Washington,1,1,1.0,,,5.0,3,0,0,4,4,0,0,0.0,61,18,0,0,0,0,0,0,0,0,22,95,0.58,0.15,0.06,0.36,0.36,0.0,1.4,0.214,7.2,1.0,669330
J.B. Wendelken,29,0,Maj-NL,"Jun 22, 2022",Arizona,@,San Diego,1,0,,,,1.0,1,0,0,1,0,0,0,0.0,,4,0,0,0,1,0,0,0,0,5,14,0.57,0.07,0.07,0.5,0.25,0.0,2.0,0.25,0.0,0.0,605525
Zack Wheeler,32,0,Maj-NL,"Jun 22, 2022",Philadelphia,@,Texas,1,1,,1.0,,4.1,7,4,2,3,8,0,0,4.15,42,20,3,0,0,0,0,0,0,0,23,99,0.64,0.18,0.11,0.5,0.42,0.0,2.308,0.583,16.6,2.67,554430
